_id,synthetic_question,synthetic_answer
27716426,Are there any accessibility features for people with disabilities at Buxton House - Suite 3?,"Unfortunately, there is no mention of specific accessibility features for people with disabilities in the property description, amenities, or access details. It is best to contact the host directly to inquire about any accessibility accommodations they may offer."
27716426,What is the maximum number of guests allowed to stay in the suite?,"The answer is not provided in the description. However, the suite is described as a ""cosy self-contained private double room,"" suggesting it is intended for two guests."
6663848,Are there accessible rooms for guests with disabilities?,The property description does not mention any specific accessibility features or accommodations for guests with disabilities. It would be best to contact the host directly to inquire about any accessibility options available.
6663848,What is the view from the terrace?,"The terrace offers a unique view of the Bosphorus Strait, where you can enjoy a glass of wine while taking in the stunning scenery."
6663848,Are there any amenities available at this property?,"Unfortunately, no amenities are listed for this property."
20872439,Is the condo wheelchair accessible?,"Unfortunately, the description does not mention any specific accessibility features, so it is unclear if the condo is wheelchair accessible. It does mention an elevator, but further details about the building's accessibility are not provided."
20872439,Is there a pool at this condo?,"Yes, the condo has a swimming pool available for guests."
20872439,Does the condo have a washer and dryer?,"Yes, the condo provides a washer and dryer for guest use."
573924,Are there any accessibility features for people with disabilities at this property?,"The property description does not mention any specific accessibility features for people with disabilities. It is located on the third floor of a triplex, and there is no mention of an elevator or wheelchair access. The host can be contacted for more information regarding accessibility."
573924,Is there a balcony?,"Yes, there are two private balconies."
30163487,Are there any accessibility features for guests with disabilities?,"The property has not specified any accessibility features, but it does provide a first aid kit and a fire extinguisher."
30163487,Does the property have a washer and dryer?,"Yes, the property amenities include a washer."
30163487,Does the property have a TV?,"Yes, a TV is provided.

Q: Is there Wi-Fi available at the property?
A: Yes, Wi-Fi is listed as an amenity.

Q: Can I cook during my stay?
A: Absolutely, as a kitchen is one of the amenities provided.

Q: Is smoking permitted on the premises?
A: Yes, smoking is allowed.

Q: Will I have access to heating during my stay?
A: Heating is available as an amenity."
6270767,Is the apartment wheelchair accessible?,"Unfortunately, the listing does not provide specific details about wheelchair accessibility. It mentions a private bedroom and shared spaces, but there is no information about wheelchair access or accommodations for those with limited mobility. It's best to contact the host directly to inquire about accessibility features and any potential challenges for guests with disabilities."
6270767,Is there a kitchen available for guests to use?,"Yes, guests have access to a kitchen."
6270767,What amenities are available in the apartment?,"The apartment offers TV, cable TV, high-speed internet, Wi-Fi, air conditioning, a fully equipped kitchen, a buzzer/wireless intercom, heating, essential items, and 24-hour check-in."
26682757,Is the apartment accessible for people with disabilities?,"Yes, the apartment offers step-free access, an accessible-height bed and toilet, and a handheld shower head, making it suitable for guests with disabilities."
26682757,Is there a lift in the building?,"No, the apartment is on the third floor and there is no elevator."
22995937,Is the property wheelchair accessible?,"The property description does not mention any accessibility features for people with disabilities, such as wheelchair accessibility. It is best to contact the host directly to inquire about specific accessibility accommodations."
22995937,Is there a place to hang my clothes?,"Yes, there is a wardrobe in the studio."
22995937,Does the property have a kitchen?,"Yes, the property has a kitchen with a fridge, microwave, coffee machine, vitroceramic hob and washing machine."
19692712,Does the Mestral Mar residence have wheelchair access?,"Unfortunately, the description does not mention wheelchair access or any accessibility features for people with disabilities."
19692712,Does the residence have a kitchen?,"Yes, the residence has a kitchen."
30763079,Is the apartment wheelchair accessible?,"The listing does not mention any accessibility features for people with disabilities, such as wheelchair accessibility or accommodations for limited mobility. It is best to contact the host directly to inquire about specific accessibility needs and to ensure the space is suitable for your requirements."
30763079,Is there a kitchen available for guests to use?,"Yes, there is a fully equipped shared kitchen available for guests to use."
26740256,Is the studio wheelchair accessible?,"The studio is not explicitly mentioned to be wheelchair accessible, but it does have a self-check-in system and a smart lock, which could be beneficial for those with limited mobility. The description also mentions a first aid kit and safety card, which could be relevant for guests with disabilities. However, the small size of the studio (150 sqft) might be a consideration for wheelchair users."
26740256,Is there a washer and dryer in the unit?,"Yes, the property includes a washer and dryer for guest use."
875567,Is the building wheelchair accessible?,"The listing does not specify if the building is wheelchair accessible, but it does mention that the entrance has a wide hallway clearance."
875567,Does the apartment have a private entrance?,"Yes, the apartment has a private entrance."
875567,Does the apartment have a kitchen?,"Yes, the apartment has a kitchenette with a refrigerator, oven, stove, and cooking basics."
16078811,Is the condo wheelchair accessible?,"Yes, the condo is wheelchair accessible, with a step-free entrance, wide clearance to the bed, and a bathtub with a bath chair."
16078811,Is there a pool?,"Yes, there is a pool on the property."
16078811,Is there a washer and dryer in the condo?,"Yes, there is a washer and dryer in the unit."
24418052,Is the property wheelchair accessible?,"The property listing does not specify any accessibility features for people with disabilities, such as wheelchair accessibility. It mentions stairs and upper floors, which may not be accessible to all guests."
24418052,Is there a private bathroom for guests?,"Yes, there is a private bathroom for guests on the upper floor."
24418052,Is there a washer and dryer available for guest use?,"Yes, the property offers a washer and dryer for guests to use."
9686887,Is the apartment wheelchair accessible?,"The listing does not mention any accessibility features for people with disabilities, such as wheelchair ramps or elevators. It is best to contact the host directly to inquire about specific accessibility accommodations."
9686887,Is there a pool?,"Yes, the apartment building has a pool."
9686887,Is there a pool?,"Yes, there is a pool available for guests to use, with some restrictions on times."
14252298,Does the No Ka Oi Hale have wheelchair access?,"The property description does not mention any accessibility features for people with disabilities, including wheelchair access. It would be advisable to contact the host directly to inquire about specific accessibility accommodations and to ensure the property meets your needs."
14252298,Does the No Ka Oi Hale have a washer and dryer?,"Yes, the No Ka Oi Hale provides guests with a washer and dryer for their convenience."
14252298,Does the No Ka Oi Hale have air conditioning?,"Yes, the No Ka Oi Hale is equipped with air conditioning to ensure a comfortable stay."
22269344,Is the apartment wheelchair accessible?,"The listing does not mention any accessibility features for people with disabilities, such as wheelchair access or ramps. It is best to contact the host directly to inquire about specific accessibility accommodations."
22269344,Is there a washing machine and dryer in the apartment?,"Yes, the apartment has an internal laundry with both a washing machine and dryer."
32481559,Is the apartment wheelchair accessible?,The property description does not specify whether the apartment is wheelchair accessible. It is best to contact the host directly to inquire about accessibility features.
32481559,Is there an elevator in the building?,"Yes, the building has an elevator."
32481559,Is there a TV in the apartment?,"Yes, there is a TV in the apartment.

Q: Does the apartment have air conditioning?
A: Yes, the apartment is equipped with air conditioning.

Q: Is there a kitchen in the apartment?
A. Yes, the apartment includes a kitchen.

Q: Is there an elevator in the building?
A: Yes, an elevator is available in the building.

Q: Does the apartment provide shampoo?
A: Yes, shampoo is provided as one of the amenities."
22420791,Does the apartment have wheelchair access?,"The property description does not mention any specific accessibility features for people with disabilities, such as wheelchair access or ramps. It is recommended to contact the host directly to inquire about the suitability of the apartment for your specific needs."
22420791,Is there a pool?,"Yes, there is a pool available for guests to use."
22420791,Does the apartment have a kitchen?,"Yes, the apartment has a kitchen with a microwave, coffee maker, refrigerator, dishes and silverware, cooking basics, oven, and stove."
18042541,Is the apartment wheelchair accessible?,The listing does not specify if the apartment is wheelchair accessible.
18042541,Is there a private entrance to the apartment?,"Yes, the apartment has a private entrance."
18042541,Is there a washer and dryer in the unit?,"Yes, a washer is listed in the amenities."
20286842,Does Tootsie's Hideaway have wheelchair access?,"No, the property is not wheelchair accessible as it requires descending three outdoor stairways to reach the studio from the parking area."
20286842,What amenities are available for guests to use?,"Guests have access to a private lanai, dining nook, microwave, fridge, toaster, electric kettle, hair dryer, iron, laptop-friendly workspace, private entrance, hot water, bed linens, extra pillows and blankets, patio or balcony, and a garden or backyard."
20286842,Is there a television in the studio?,"No, there is no TV in the studio, but high-speed Internet is available for streaming movies or shows on your laptop."
4502957,Does the property have any accessibility features for guests with disabilities?,"Unfortunately, the property description does not mention any specific accessibility features for guests with disabilities. It focuses on the luxurious amenities and proximity to Bondi Beach, but there is no information provided about wheelchair access, ramps, or other disability-friendly accommodations."
4502957,Does the property have a private entrance?,"Yes, the property offers a private entrance for guests."
4502957,Does the property have a washer and dryer?,"Yes, the property provides a washer and dryer for guest use."
11695637,Does the apartment have wheelchair access?,"The description does not mention any accessibility features for people with disabilities, including wheelchair access."
11695637,Does the apartment have a pool?,"Yes, the apartment has a pool."
11695637,Does the apartment have a washer and dryer?,"Yes, the apartment is equipped with a washer and dryer for your convenience."
12762350,Are there accessible parking spots available at the Westin Kaanapali Ocean Resort Villas South?,"Yes, the resort offers disabled parking spots."
12762350,What accessibility features are available at the Westin Kaanapali Ocean Resort Villas South?,"The resort offers a range of accessibility features, including wheelchair accessibility, wide hallway clearance, step-free access, wide doorways, and disabled parking spots. It is recommended to call the resort directly to ensure specific needs are met, especially for ADA-compliant accommodations."
22674839,Is the apartment wheelchair accessible?,"The description does not mention wheelchair accessibility, and the presence of stairs to the ground floor suggests that it may not be suitable for those with limited mobility."
22674839,What kind of amenities are available in the apartment?,"The apartment offers a range of amenities to ensure a comfortable stay, including TV, Wi-Fi, air conditioning, a well-equipped kitchen, heating, a washer and dryer, and essential items like shampoo, a hair dryer, and an iron."
22674839,Is there a kitchen available for guests to use?,"Yes, the kitchen is available for guests to use and is equipped with essential cooking appliances."
2748736,Does the Lilikoi Inn have wheelchair accessible rooms?,"The description and amenities list do not mention any accessibility features for people with disabilities, such as wheelchair accessibility. It is recommended to contact the Lilikoi Inn directly to inquire about specific accessibility accommodations."
2748736,Does the Lilikoi Inn have a hot tub?,"Yes, the Lilikoi Inn offers a relaxing hot tub for guests to enjoy."
2748736,Does the Lilikoi Inn have a hot tub?,"Yes, the Lilikoi Inn offers a relaxing hot tub for guests to use."
25414968,Is the apartment wheelchair accessible?,"Unfortunately, the apartment is not wheelchair accessible as it is located in a semi-basement and may have steps leading to the entrance."
25414968,What amenities are available in the apartment?,"The apartment offers a range of amenities including TV, Wi-Fi, air conditioning, a fully equipped kitchen, free street parking, heating, a washer and dryer, and a private entrance. It also provides essential items like shampoo, hangers, a hair dryer, and an iron."
8118147,Are there any accessibility features for guests with disabilities at this property?,"Unfortunately, the property description does not mention any specific accessibility features for guests with disabilities. It would be best to contact the host directly to inquire about any accommodations they may offer for guests with special needs."
8118147,Is there internet available at this property?,"Yes, the property offers internet access to guests."
8118147,Does the property have internet access?,"Yes, the property offers internet and Wifi access to guests."
11933497,Is the apartment wheelchair accessible?,"Unfortunately, the listing does not provide any specific accessibility information for people with disabilities, and there is no mention of wheelchair accessibility. It would be best to contact the host directly to inquire about the accessibility features of the apartment and its suitability for your needs."
11933497,What amenities are available in the kitchen?,"The kitchen is open and shared with other guests, and includes kitchen closets, a fridge, and any space in the kitchen closets."
3374964,Is the apartment wheelchair accessible?,"The description does not mention wheelchair accessibility, and the presence of stairs to the building and an elevator suggests that it may not be easily accessible for those with physical disabilities."
3374964,What is the parking situation at this property?,There is paid parking off premises.
3374964,Does the apartment have a kitchen?,"Yes, the apartment has a kitchen equipped with a microwave, coffee maker, refrigerator, dishes and silverware, and cooking basics."
19825124,Is the apartment wheelchair accessible?,"I'm sorry, but the apartment is not wheelchair accessible. There is no mention of wheelchair accessibility in the description or amenities, and the access section mentions stairs to the apartment."
19825124,What is the parking situation at this property?,"The property offers free street parking, but it is not private."
19825124,Does the apartment have heating?,"Yes, the apartment has heating.

Q: Is there a hair dryer provided?
A: Yes, a hair dryer is one of the amenities listed.

Q: Can I access the kitchen?
A: Yes, the kitchen is one of the amenities listed.

Q: Will I have access to hot water?
A: Yes, hot water is provided.

Q: Are there hangers available for my clothes?
A: Yes, hangers are included in the amenities."
23980486,Are there any accessibility features for people with disabilities at this property?,"Yes, the property offers step-free access to the Ohana units, a flat and well-lit path to the entrance, and a handheld shower head in the bathroom."
23980486,Is there a washer and dryer available for guests to use?,"Yes, there is a washer and dryer located below the Ohana's for guest use, and laundry detergent and softener are provided."
23980486,What amenities are available for guests who are staying long-term?,"The property offers long-term stays with access to a washer and dryer, laundry detergent, and softener."
19585700,Are there any accessibility features for the disabled at this property?,"Unfortunately, the property description does not mention any accessibility features for people with disabilities."
19585700,Does the property have a kitchen?,"Yes, the property includes a kitchen as one of its amenities."
19585700,Does the property have a kitchen?,"Yes, the property has a kitchen available for guest use."
32663214,Does the property have wheelchair access?,"Yes, the property has an elevator and is wheelchair accessible."
32663214,Is there an elevator in the building?,"Yes, the property has an elevator."
32663214,Does the property have a washer and dryer?,"Yes, the property includes a washer and dryer."
13333143,Does the apartment have any accessibility features for people with disabilities?,"The apartment has a wide doorway, a flat path to the front door, a well-lit path to the entrance, wide clearance to the bed, step-free access, and a wide entryway."
13333143,Does the apartment have a balcony?,"Yes, the apartment features a balcony."
13333143,Is there a gym available for guests?,"Yes, there is a gym available for guests to use."
21179158,Is the Montreal apartment wheelchair accessible?,"The listing does not mention wheelchair accessibility, but the entire home is available to guests, including amenities like a pool, gym, and sauna."
21179158,What amenities are available at the property?,"The property offers a range of amenities, including a cyber lounge, pool, BBQ area, conference room, gym, sauna, and a 24-hour reception desk for any inquiries."
21179158,Does the property have a kitchen?,"Yes, the property has a fully equipped kitchen with a microwave, coffee maker, refrigerator, dishwasher, dishes and silverware, cooking basics, oven, and stove."
23325683,Is the apartment wheelchair accessible?,"Unfortunately, the description does not mention any accessibility features for people with disabilities, such as wheelchair accessibility. It is located on the fourth floor, and there is no mention of an elevator or ramp access, which may be a concern for those with limited mobility."
23325683,Is there an elevator in the building?,"The description does not mention an elevator, so guests should be prepared to climb stairs to reach the fourth floor."
10166986,Is the apartment wheelchair accessible?,"Yes, the apartment is wheelchair accessible and has an elevator."
10166986,Is there a pool on the property?,"Yes, the property has a pool."
10166986,Does the apartment have a pool?,"Yes, the apartment building has a pool."
27581612,Does the suite have wheelchair access?,"The property details do not specify any accessibility features for people with disabilities, including wheelchair access. It is best to contact the host directly to inquire about specific accessibility accommodations."
27581612,Does the suite have a private entrance?,"Yes, the suite has a private entrance."
27581612,Is there a kitchen available in the suite?,"Yes, the suite includes a kitchen."
32174629,Is the apartment wheelchair accessible?,"The listing does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It is best to contact the host directly to inquire about accessibility and any specific needs you may have."
32174629,Is there a kitchen available for guests to use?,"Yes, the apartment has a kitchen with some equipment."
4742607,Is the property wheelchair accessible?,"Yes, the property has step-free access, wide doorways, and a disabled parking spot, making it wheelchair accessible."
4742607,Is there a pool on the property?,"Yes, there is a private swimming pool measuring 12 x 5m with a depth of 1.1-2m, which is available for use from May to October."
4742607,Is there a kitchen?,"Yes, there is a kitchen available for guests to use."
15244301,Does the property have wheelchair access?,The property does not mention any wheelchair access or accessibility features for people with disabilities.
15244301,Is there a pool?,"Yes, there is a swimming pool on the property."
15244301,Is there a kitchen?,"Yes, a kitchen is available for guest use."
2681380,Is the apartment wheelchair accessible?,"Yes, the apartment is wheelchair accessible and has an elevator."
2681380,Does the apartment have a doorman?,"Yes, the apartment has a doorman until 8 p.m."
2681380,Does the apartment have a hair dryer?,"Yes, the apartment provides a hair dryer as a basic amenity."
8905626,Is the apartment wheelchair accessible?,"The apartment is located on a higher floor and can be accessed via a lift, making it suitable for wheelchair users."
23771506,Is the apartment wheelchair accessible?,"Yes, the apartment is wheelchair accessible and has an elevator."
23771506,What type of parking is available at the property?,Paid parking on premises is available for $25.
23771506,Does the apartment have air conditioning?,"Yes, the apartment has central air-conditioning."
16182647,Does this property have wheelchair access?,"The property listing does not mention any accessibility features for people with disabilities, including wheelchair access."
16182647,Is there a washer and dryer in the unit?,"Yes, the tiny house has a washer and dryer available for guest use."
22536752,Does the property have wheelchair access?,"The property description does not mention any accessibility features for people with disabilities, including wheelchair access. It is best to contact the host directly to inquire about specific accessibility accommodations."
22536752,Does the property have a kitchen?,"Yes, the property includes a kitchen as one of its amenities."
22536752,Is there air conditioning?,"Yes, the property has air conditioning.

Q: Are there any pets allowed?
A: Yes, pets are allowed at this property.

Q: Is there a kitchen available for use?
A: Yes, a kitchen is one of the amenities provided.

Q: Does the property provide shampoo and other essentials?
A: Yes, shampoo and other basic essentials are provided.

Q: Is there a washer available for laundry?
A: Yes, a washer is listed as one of the amenities."
16065418,Is the Sonder apartment wheelchair accessible?,"The Sonder apartment's accessibility features are not specified, and there is no mention of wheelchair accessibility in the provided text. It would be best to contact the host or Sonder management directly to inquire about specific accessibility accommodations for people with disabilities."
16065418,Is there a washer and dryer in the Sonder?,"Yes, this Sonder has a washer and dryer available for guest use."
16065418,Does the property have a kitchen?,"Yes, the Sonder property has a modern, fully-equipped kitchen with stainless steel appliances, including a microwave, coffee maker, refrigerator, dishwasher, and cooking basics."
24474335,Is the apartment wheelchair accessible?,"The listing does not specify any accessibility features, so it may not be suitable for those with limited mobility."
24474335,Is there a kitchen available for use?,"Yes, there is a kitchen."
24474335,Does the apartment have a kitchen?,"Yes, the apartment has a kitchen available for use."
24322799,Is the apartment wheelchair accessible?,"The property description does not mention any accessibility features for people with disabilities, such as wheelchair access or adapted bathrooms. It is best to contact the host directly to inquire about specific accessibility accommodations."
24322799,What is the nearest metro station?,"Line3 metro station ""Liceo""."
24322799,Does the apartment have a kitchen?,"Yes, the apartment has a fully equipped kitchen."
32388469,Are there any accessibility features for people with disabilities?,"The listing does not mention any specific accessibility features for people with disabilities, such as wheelchair access or modified bathrooms. It is best to contact the host directly to inquire about specific accessibility needs and accommodations."
32388469,How many bedrooms are in the house?,The house has 5 bedrooms.
32388469,What are the available amenities in the house?,"The house offers a range of amenities, including TV, Wi-Fi, air conditioning, a fully equipped kitchen, free parking, heating, a washer, smoke detector, first aid kit, essential toiletries like shampoo, hangers, a hair dryer, and an iron. There's also a private living room and two separate living spaces."
32727861,Are there any accessibility features for people with disabilities at this property?,"The property does not mention any specific accessibility features for people with disabilities, but it does have an elevator and a private entrance."
32727861,What amenities are available at the property?,"The property offers a range of amenities, including a TV, Wi-Fi, air conditioning, free parking, breakfast, an elevator, hot tub, heating, event suitability, a washer, dryer, smoke and carbon monoxide detectors, first aid kit, fire extinguisher, essential toiletries, shampoo, a lock on the bedroom door, hangers, hair dryer, laptop-friendly workspace, private living room, and private entrance."
32727861,Is there air conditioning?,"Yes, the property has air conditioning."
7674190,Is the property wheelchair accessible?,"The property description does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It mentions that the room is not suitable for more than one traveler due to limited space, and guests are welcome to walk around the house, but there is no explicit mention of wheelchair access or accommodations for other disabilities."
7674190,Is there a kitchen available for guests to use?,"Yes, a kitchen is listed as one of the amenities provided."
7674190,What is the maximum number of guests that can stay in the room?,The room is only suitable for one traveler due to its limited space.
25881010,Is the apartment wheelchair accessible?,"I'm sorry, but the apartment is located on the sixth floor and there is no mention of wheelchair accessibility or an elevator in the building."
30366799,Does the apartment have wheelchair access?,"The listing does not mention wheelchair access, but it does mention that the apartment is located on a quiet street and is a 7-minute walk from the Sagrada Familia. It also provides access to a kitchen-dining room, a private bathroom, and a hallway for outerwear."
30366799,What amenities are available in the kitchen?,"The kitchen is well-equipped with a microwave, coffee maker, refrigerator, dishwasher, dishes and silverware, cooking basics, an oven, and a stove."
30366799,Does the room have a private bathroom?,"Yes, the room has a private bathroom with a toilet."
21637487,Is the apartment wheelchair accessible?,"The apartment is located on the first floor of an Art Deco building, and while there is no mention of wheelchair accessibility, the host can be contacted for more specific information regarding access and any potential accommodations for guests with disabilities."
21637487,What amenities are available in the apartment?,"The apartment offers a fully equipped kitchen, air conditioning, heating, a washer, TV, cable TV, internet, wifi, and a laptop-friendly workspace."
26669415,Are there any accessibility features for guests with disabilities at this property?,"Unfortunately, the property description does not mention any specific accessibility features for guests with disabilities. It would be best to contact the host directly to inquire about any accommodations or accessibility measures they may have in place."
26669415,What is the closest transportation hub to the property?,"The property is located within 3 minutes of the TRAMVAY, METRO, AVTOBUS, and the coast."
26669415,Does the property have a kitchen?,"Yes, the property includes a kitchen as one of its amenities."
16107698,Is the property wheelchair accessible?,"The listing does not specify if the property is wheelchair accessible, but it does mention an elevator and a private entrance."
16107698,Does the apartment have a kitchen?,"Yes, the apartment has an equipped kitchen."
16107698,Does the apartment have a kitchen?,"Yes, the apartment has a fully equipped kitchen."
571382,Is the apartment wheelchair accessible?,"Unfortunately, the listing does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It does mention that there is an elevator, which could be helpful for those with mobility issues, but it is not explicitly stated as being wheelchair accessible."
571382,Is there a bus station nearby?,"Yes, the central bus station is a 5-10 minute walk away, and there is also a metro station called ""Mercado"" about 20-30 minutes away."
2462714,Does Suen Apart have accessible rooms for people with disabilities?,"Unfortunately, the property description does not mention any specific accessibility features or rooms for people with disabilities. It would be best to contact the property directly to inquire about their ability to accommodate guests with disabilities and any specific requirements you may have."
2462714,What type of parking is available at Suen Apart?,Suen Apart offers parking nearby.
2462714,Is there air conditioning in the rooms?,"Yes, the apartments at Suen Apart are air-conditioned."
16816601,Is the Lehua Lanai accessible for people with disabilities?,"The listing mentions that the entire house is accessible to guests, but does not provide specific details about accessibility features for people with disabilities. It would be best to contact the host directly to inquire about any specific accessibility needs and to ensure the property can accommodate your requirements."
16816601,Is there a kitchen available for guests to use?,"Yes, the Lehua Lanai provides a fully equipped kitchen as part of its amenities."
16816601,Does the Lehua Lanai have a TV?,"Yes, the Lehua Lanai is equipped with a TV for your entertainment needs."
26942581,Is the apartment wheelchair accessible?,"Yes, the apartment is located on the first floor and can be accessed by elevator."
26942581,Does the property have a private entrance?,"Yes, the property has a private entrance."
16178963,Are there any accessibility features for people with disabilities at this property?,"The property description and amenities list do not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility or grab bars in the bathroom. It is best to contact the host directly to inquire about specific accessibility needs and accommodations."
16178963,Does the property have a washer and dryer?,"Yes, the property has a washer available for guests."
16178963,Does the property have a washer?,"Yes, the property offers a washer as an amenity."
18316061,Is the property wheelchair accessible?,"The listing does not mention any accessibility features for people with disabilities, such as wheelchair access or ramps. It focuses on the property's amenities, location, and transit options, but does not provide specific details about accessibility."
18316061,Is there a kitchen available for guests to use?,"Yes, guests have access to a private kitchen."
17537192,Does the apartment have wheelchair access?,"The listing does not specify any accessibility features, so it is unclear if the apartment has wheelchair access. It is recommended to contact the host for more information regarding accessibility."
17537192,What amenities are available at this property?,"This property offers a range of amenities including TV, internet, wifi, a fully equipped kitchen, and heating. It also allows pets, provides essentials, and offers paid parking on the premises."
6376606,Is the apartment wheelchair accessible?,"The property description does not specify any accessibility features for people with disabilities, including wheelchair accessibility. It is recommended to contact the host to confirm if the apartment can accommodate wheelchair users."
6376606,What type of bed is in the room?,The room comes furnished with a queen-sized memory foam mattress.
6376606,Is there a TV in the apartment?,"Yes, the apartment has a TV."
28653236,Is the Trinitat Terrace apartment wheelchair accessible?,"The description does not mention wheelchair accessibility, so it is best to contact the host to confirm if the apartment can accommodate wheelchairs."
28653236,Does the apartment have a balcony?,"Yes, one of the individual bedrooms has a balcony."
28190215,Does the apartment have step-free access?,"Yes, the apartment has step-free access and is wheelchair accessible."
28190215,Is there a pool on the property?,"Yes, there is an outdoor swimming pool on the property."
17705652,Are there any accessibility features for those with disabilities in the house?,"Unfortunately, the property description does not mention any specific accessibility features for people with disabilities. It focuses on the amenities and general atmosphere of the house, but does not provide details about accessibility accommodations."
17705652,Is there a private living room?,"Yes, there is a private living room available for guests."
17705652,Does the property have a private bathroom?,"The listing does not explicitly mention a private bathroom, but it does include amenities like a hair dryer, iron, and shampoo, which are typically associated with a bathroom."
152645,Is the studio wheelchair accessible?,"The description does not mention any specific wheelchair accessibility features, but it does mention ceramic tiled floors and a large porcelain tiled shower, which may be suitable for wheelchair users. It's recommended to contact the host for specific accessibility details."
152645,What type of flooring is in the studio?,The studio has ceramic tiled floors.
152645,Is there a pool on the property?,"Yes, the property has a pool and a hot tub."
5172371,Are there accessible rooms available for people with disabilities?,"While the property description does not explicitly mention accessible rooms, it does state that the property has a buzzer/wireless intercom, which could be useful for guests with limited mobility. The property also offers catering services, which could be beneficial for guests with dietary restrictions or special needs."
5172371,Is there a gym at Auberge St-Louis?,"Yes, there is a gym available for guests to use at Auberge St-Louis."
5172371,Does the property have a gym?,"Yes, the property offers complimentary fitness facilities."
14234561,Is the property wheelchair accessible?,"The property is a basement studio with a separate private entrance, but the listing does not mention any specific accommodations for wheelchair users. It is best to contact the host to confirm if the entrance and interior space can accommodate wheelchairs."
14234561,Is there a separate entrance to the basement studio?,"Yes, the basement studio has its own private entrance, ensuring complete privacy for guests."
14234561,Does the apartment have a private entrance?,"Yes, the basement studio has its own separate entrance, ensuring complete privacy."
15702250,Is the property wheelchair accessible?,"Yes, the property is wheelchair accessible and has amenities to accommodate guests with disabilities."
15702250,Is there a fireplace in the house?,"Yes, there is an indoor fireplace available for guests to use."
15702250,Is there a kitchen available for guests to use?,"Yes, the property features a fully equipped kitchen for guest use."
18841656,Are there any rooms with wheelchair access?,There is no mention of wheelchair access in the listing.
18841656,Are there windows in all the rooms?,"No, not all rooms have windows. If you want a room with a window, please note that when you submit a reservation, or at check-in with us, and we will be as much as possible for your deployment to Window of the."
18841656,Is there a hairdryer in the room?,"Yes, a hairdryer is provided in the room."
9068299,Are there any accessibility features for people with disabilities in this apartment?,"Unfortunately, the property description does not provide any specific details about accessibility features for people with disabilities. It would be best to contact the host directly to inquire about any accommodations or accessibility options available."
9068299,Is there a washer in the apartment?,"Yes, a washer is available for guests to use."
9068299,Does the apartment have internet access?,"Yes, the apartment offers internet and Wifi access."
26486034,Is the property wheelchair accessible?,"The property description does not mention any specific accessibility features for people with disabilities, such as wheelchair accessibility. It only mentions the presence of an elevator, which could be beneficial for those with limited mobility. However, it's best to contact the host directly to inquire about specific accessibility accommodations and to ensure the property meets your needs."
26486034,Is there a washer and dryer in the unit?,"Yes, a washer is listed as an amenity."
26486034,Does the property have a kitchen?,"Yes, the property has a kitchen available for guest use."
743417,Are there any accessibility features for the visually impaired?,"No, there are no accessibility features mentioned for the visually impaired."
743417,Is there a washer in the unit?,"Yes, a washer is listed as one of the amenities."
743417,Is there a washer available?,"Yes, a washer is listed as one of the amenities."
24057513,Does the apartment have wheelchair access?,"The property description does not mention any specific accessibility features, and there is no information about wheelchair access. It is best to contact the host directly to inquire about this."
24057513,Does the apartment have an elevator?,"Yes, the apartment building has an elevator."
17749155,Are the cottages wheelchair accessible?,"Unfortunately, the listing does not explicitly mention wheelchair accessibility, but it does state that there is a garden, a common pool, and a trail for walking or jogging, suggesting that there are outdoor spaces that may be accessible. It's best to contact the host directly to inquire about specific accessibility features and accommodations for people with disabilities."
16281923,Does the property have wheelchair accessible entrances and exits?,"Unfortunately, the property description does not mention any specific accessibility features, including wheelchair accessibility. It is best to contact the host directly to inquire about this."
16281923,Does the property have a kitchen?,"Yes, the property includes a kitchen as one of its amenities."
16281923,Does the property have a TV?,"Yes, the property provides a TV for guests to use."
1229797,Are there any accessibility features for people with disabilities in the apartment?,"The description does not mention any specific accessibility features for people with disabilities, such as wheelchair ramps or grab bars in the bathroom. However, the apartment is located on the ground floor and has an elevator, which could be beneficial for those with limited mobility."
1229797,Does the apartment have a washer and dryer?,"Yes, the apartment is equipped with a washer and dryer for guest use."
1229797,Does the room have a private bathroom?,"Yes, the room has its own private bathroom."
18877786,Is the apartment wheelchair accessible?,"Unfortunately, the description does not provide any specific accessibility information, and the 'Access' section is empty. It is best to contact the host directly to inquire about accessibility features for people with disabilities."
18877786,Does the apartment have a pool?,"Yes, the apartment has a pool."
18877786,Does the apartment have a kitchen?,"Yes, the apartment includes a kitchen as one of its amenities."
11693193,Are there any accessibility features for people with disabilities?,The listing does not mention any accessibility features for people with disabilities.
11693193,Is there a hot tub?,"Yes, there is a hot tub available for guests to use."
11693193,Is there a kitchen in the apartment?,"Yes, the apartment has a kitchen."
21368282,Is the apartment wheelchair accessible?,"The description does not specify any accessibility features, and as it is located on the 2nd floor, it may not be easily accessible for those with mobility issues."
21368282,What floor is the apartment on?,The apartment is located on the 2nd floor.
21368282,Does the apartment have a kitchen?,"Yes, the apartment includes a kitchen as an amenity."
25261646,Is the property wheelchair accessible?,"The property description does not mention wheelchair accessibility, but it does mention a balcony with an exit in the master bedroom, which could be useful for those with limited mobility."
